103.13.101.239:2302 | 12:19:51 PM | Player #4 CoCoNuTz (123.2.92.114:2304) connected
103.13.101.239:2302 | 12:19:51 PM | Player #4 CoCoNuTz disconnected
103.13.101.239:2302 | 12:23:04 PM | (Side) sgt_cambo: if ya need money just get all weapons in 1 car sell it all at gun shop lol
103.13.101.239:2302 | 12:23:19 PM | (Side) Jake: ty
103.13.101.239:2302 | 12:23:28 PM | (Side) sgt_cambo: np
103.13.101.239:2302 | 12:23:59 PM | (Group) Jake: join skype
103.13.101.239:2302 | 12:24:28 PM | (Side) sgt_cambo: oops
103.13.101.239:2302 | 12:25:54 PM | (Side) sgt_cambo: u can hav ya money and stuff alistair!
103.13.101.239:2302 | 12:34:23 PM | Player #4 Tyr (121.220.209.172:62239) connected
103.13.101.239:2302 | 12:34:24 PM | Player #4 Tyr - GUID: bca7500cb81845a5a079888afc1dd130 (unverified)
103.13.101.239:2302 | 12:34:24 PM | Verified GUID (bca7500cb81845a5a079888afc1dd130) of player #4 Tyr
103.13.101.239:2302 | 12:37:34 PM | (Side) sgt_cambo: thats fked i hit eject when i hit stop engine
103.13.101.239:2302 | 12:40:36 PM | (Side) sgt_cambo: all u can hav what u did i was leaving it there for ya
103.13.101.239:2302 | 12:40:41 PM | (Side) sgt_cambo: al
103.13.101.239:2302 | 12:41:37 PM | Player #4 Tyr disconnected
103.13.101.239:2302 | 12:47:14 PM | Player #0 ALISTER disconnected
103.13.101.239:2302 | 12:51:45 PM | Player #0 Gary (124.180.227.32:63476) connected
103.13.101.239:2302 | 12:51:46 PM | Player #0 Gary - GUID: b5b3377c3cbda3e73747661e8e85774d (unverified)
103.13.101.239:2302 | 12:51:47 PM | Verified GUID (b5b3377c3cbda3e73747661e8e85774d) of player #0 Gary
103.13.101.239:2302 | 1:07:50 PM | Player #0 Gary disconnected
103.13.101.239:2302 | 1:09:10 PM | (Side) sgt_cambo: marked weres theres gun in a truck free 2take
103.13.101.239:2302 | 1:09:21 PM | (Side) sgt_cambo: guns
103.13.101.239:2302 | 1:34:41 PM | Could not connect to BE Master
103.13.101.239:2302 | 1:34:41 PM | Update attempt failed
103.13.101.239:2302 | 1:43:40 PM | Player #0 Mouton (58.168.129.23:2304) connected
103.13.101.239:2302 | 1:43:41 PM | Player #0 Mouton - GUID: e775cd73bfde1736b6516d003e74cbeb (unverified)
103.13.101.239:2302 | 1:43:42 PM | Verified GUID (e775cd73bfde1736b6516d003e74cbeb) of player #0 Mouton
103.13.101.239:2302 | 1:45:52 PM | Player #0 Mouton disconnected
103.13.101.239:2302 | 1:46:31 PM | Could not connect to BE Master
103.13.101.239:2302 | 1:46:31 PM | Update attempt failed
103.13.101.239:2302 | 2:06:04 PM | RCon admin #0: (Global) DADINATOR: ATM's Done....
103.13.101.239:2302 | 2:06:14 PM | (Side) sgt_cambo: sweet
103.13.101.239:2302 | 2:06:21 PM | RCon admin #0: (Global) DADINATOR: Chop shop done ...
103.13.101.239:2302 | 2:06:22 PM | (Side) Jake: are atms coming on this server?
103.13.101.239:2302 | 2:06:25 PM | (Side) Jake: yaya
103.13.101.239:2302 | 2:06:29 PM | RCon admin #0: (Global) DADINATOR: Yup
103.13.101.239:2302 | 2:06:38 PM | (Side) sgt_cambo: y my name has changed
103.13.101.239:2302 | 2:06:41 PM | (Side) sgt_cambo: ?
103.13.101.239:2302 | 2:06:46 PM | (Side) Jake: do vehicles save?
103.13.101.239:2302 | 2:06:51 PM | RCon admin #0: (Global) DADINATOR: Just gotta make sure that everything works
103.13.101.239:2302 | 2:07:12 PM | (Side) Jake: do vehicles save??????
103.13.101.239:2302 | 2:07:15 PM | RCon admin #0: (Global) DADINATOR: No vehicles don't save .. but I am going to make a vehicle garage like life
103.13.101.239:2302 | 2:07:22 PM | (Side) Jake: oh
103.13.101.239:2302 | 2:07:23 PM | (Side) Jake: shit
103.13.101.239:2302 | 2:07:31 PM | (Side) Jake: we just spent 16k on a heli
103.13.101.239:2302 | 2:07:38 PM | RCon admin #0: (Global) DADINATOR: oops
103.13.101.239:2302 | 2:07:50 PM | (Side) Jake: can we get our money back?
103.13.101.239:2302 | 2:08:07 PM | (Side) sgt_cambo: y my name is comn up diffrent
103.13.101.239:2302 | 2:08:24 PM | RCon admin #0: (Global) DADINATOR: Err.... I will give it back next time I am on...
103.13.101.239:2302 | 2:08:25 PM | (Side) sgt_cambo: gikas
103.13.101.239:2302 | 2:08:31 PM | (Side) Jake: ok
103.13.101.239:2302 | 2:08:36 PM | (Side) Jake: when u coming on??
103.13.101.239:2302 | 2:08:44 PM | RCon admin #0: (Global) DADINATOR: in a few hours
103.13.101.239:2302 | 2:08:52 PM | (Side) Jake: alright i might still be on
103.13.101.239:2302 | 2:09:05 PM | (Side) Jake: when server restart?
103.13.101.239:2302 | 2:09:28 PM | RCon admin #0: (Global) DADINATOR: about 6 hours
103.13.101.239:2302 | 2:09:34 PM | (Side) Jake: k
103.13.101.239:2302 | 2:11:19 PM | RCon admin #0: (Global) DADINATOR: Vehicle repair and rearm done.. just gotta tweek it all
103.13.101.239:2302 | 2:11:30 PM | (Side) sgt_cambo: nice
103.13.101.239:2302 | 2:11:35 PM | (Side) Jake: um dude
103.13.101.239:2302 | 2:11:52 PM | (Side) Jake: how do we load tower in the car or heli
103.13.101.239:2302 | 2:11:59 PM | (Side) Jake: it doesnt say load in
103.13.101.239:2302 | 2:12:13 PM | (Side) Jake: nvm
103.13.101.239:2302 | 2:15:26 PM | Player #1 sgt_cambo (d2ce474bdc303f710ae33fcdf769a89c) has been kicked by BattlEye: Ping too high (343)
103.13.101.239:2302 | 2:18:53 PM | Player #0 sgt_cambo (122.148.132.137:2304) connected
103.13.101.239:2302 | 2:18:54 PM | Player #0 sgt_cambo - GUID: d2ce474bdc303f710ae33fcdf769a89c (unverified)
103.13.101.239:2302 | 2:18:55 PM | Verified GUID (d2ce474bdc303f710ae33fcdf769a89c) of player #0 sgt_cambo
103.13.101.239:2302 | 2:20:48 PM | Player #0 sgt_cambo disconnected
103.13.101.239:2302 | 2:20:54 PM | Player #0 sgt_cambo (122.148.132.137:2304) connected
103.13.101.239:2302 | 2:20:55 PM | Player #0 sgt_cambo - GUID: d2ce474bdc303f710ae33fcdf769a89c (unverified)
103.13.101.239:2302 | 2:20:55 PM | Verified GUID (d2ce474bdc303f710ae33fcdf769a89c) of player #0 sgt_cambo
103.13.101.239:2302 | 2:23:17 PM | Player #0 sgt_cambo (d2ce474bdc303f710ae33fcdf769a89c) has been kicked by BattlEye: Ping too high (609)
103.13.101.239:2302 | 2:23:34 PM | Player #0 sgt_cambo (122.148.132.137:2304) connected
103.13.101.239:2302 | 2:23:36 PM | Player #0 sgt_cambo - GUID: d2ce474bdc303f710ae33fcdf769a89c (unverified)
103.13.101.239:2302 | 2:23:36 PM | Verified GUID (d2ce474bdc303f710ae33fcdf769a89c) of player #0 sgt_cambo
103.13.101.239:2302 | 2:24:55 PM | Player #0 sgt_cambo disconnected
103.13.101.239:2302 | 2:25:02 PM | Player #0 sgt_cambo (122.148.132.137:2304) connected
103.13.101.239:2302 | 2:25:03 PM | Player #0 sgt_cambo - GUID: d2ce474bdc303f710ae33fcdf769a89c (unverified)
103.13.101.239:2302 | 2:25:04 PM | Verified GUID (d2ce474bdc303f710ae33fcdf769a89c) of player #0 sgt_cambo
103.13.101.239:2302 | 2:31:35 PM | (Side) sgt_cambo: hey jake did dad say  the ATS will be running nx restart?
103.13.101.239:2302 | 2:31:46 PM | (Side) Jake: no
103.13.101.239:2302 | 2:31:56 PM | (Side) sgt_cambo: bugger
103.13.101.239:2302 | 2:32:01 PM | (Side) Jake: y
103.13.101.239:2302 | 2:32:15 PM | (Group) Daniel: just stick your cashin a amo cr8
103.13.101.239:2302 | 2:32:48 PM | (Side) Daniel: just stick your cash in an amo cr8
103.13.101.239:2302 | 2:33:00 PM | (Side) sgt_cambo: /yer cool thx
103.13.101.239:2302 | 2:33:10 PM | (Side) Jake: whats nx restart?
103.13.101.239:2302 | 2:39:11 PM | Player #1 [field marshall] nick (203.173.129.182:2304) connected
103.13.101.239:2302 | 2:39:13 PM | Player #1 [field marshall] nick - GUID: b16bf9c3e3ccf4ce8c75e451e95e7d5c (unverified)
103.13.101.239:2302 | 2:39:13 PM | Verified GUID (b16bf9c3e3ccf4ce8c75e451e95e7d5c) of player #1 [field marshall] nick
103.13.101.239:2302 | 2:40:09 PM | Player #1 [field marshall] nick disconnected
103.13.101.239:2302 | 2:43:12 PM | Player #1 necropolic (110.33.216.229:2304) connected
103.13.101.239:2302 | 2:43:13 PM | Player #1 necropolic - GUID: f890833724f9192d1c2823d41a95878a (unverified)
103.13.101.239:2302 | 2:43:14 PM | Verified GUID (f890833724f9192d1c2823d41a95878a) of player #1 necropolic
103.13.101.239:2302 | 2:44:19 PM | Player #1 necropolic disconnected
103.13.101.239:2302 | 2:46:51 PM | (Side) sgt_cambo: laggg
103.13.101.239:2302 | 2:47:16 PM | Player #1 necropolic (110.33.216.229:2304) connected
103.13.101.239:2302 | 2:47:17 PM | Player #1 necropolic - GUID: f890833724f9192d1c2823d41a95878a (unverified)
103.13.101.239:2302 | 2:47:17 PM | Verified GUID (f890833724f9192d1c2823d41a95878a) of player #1 necropolic
103.13.101.239:2302 | 2:47:22 PM | Player #1 necropolic disconnected
103.13.101.239:2302 | 2:48:11 PM | Player #0 sgt_cambo (d2ce474bdc303f710ae33fcdf769a89c) has been kicked by BattlEye: Ping too high (438)
103.13.101.239:2302 | 2:50:02 PM | Player #0 sgt_cambo (122.148.132.137:2304) connected
103.13.101.239:2302 | 2:50:03 PM | Player #0 sgt_cambo - GUID: d2ce474bdc303f710ae33fcdf769a89c (unverified)
103.13.101.239:2302 | 2:50:04 PM | Verified GUID (d2ce474bdc303f710ae33fcdf769a89c) of player #0 sgt_cambo
103.13.101.239:2302 | 2:51:59 PM | Player #0 sgt_cambo (d2ce474bdc303f710ae33fcdf769a89c) has been kicked by BattlEye: Ping too high (391)
103.13.101.239:2302 | 2:53:47 PM | Player #3 Daniel disconnected
103.13.101.239:2302 | 2:53:48 PM | Player #2 Jake disconnected
103.13.101.239:2302 | 2:55:15 PM | Player #0 sgt_cambo (122.148.132.137:2304) connected
103.13.101.239:2302 | 2:55:18 PM | Player #0 sgt_cambo - GUID: d2ce474bdc303f710ae33fcdf769a89c (unverified)
103.13.101.239:2302 | 2:55:19 PM | Verified GUID (d2ce474bdc303f710ae33fcdf769a89c) of player #0 sgt_cambo
103.13.101.239:2302 | 2:58:54 PM | Player #0 sgt_cambo (d2ce474bdc303f710ae33fcdf769a89c) has been kicked by BattlEye: Ping too high (234)
103.13.101.239:2302 | 3:11:11 PM | Player #0 sgt_cambo (122.148.132.137:2304) connected
103.13.101.239:2302 | 3:11:12 PM | Player #0 sgt_cambo - GUID: d2ce474bdc303f710ae33fcdf769a89c (unverified)
103.13.101.239:2302 | 3:11:12 PM | Verified GUID (d2ce474bdc303f710ae33fcdf769a89c) of player #0 sgt_cambo
103.13.101.239:2302 | 3:52:26 PM | Player #0 sgt_cambo (d2ce474bdc303f710ae33fcdf769a89c) has been kicked by BattlEye: Ping too high (437)
103.13.101.239:2302 | 3:54:13 PM | Player #0 sgt_cambo (122.148.132.137:2304) connected
103.13.101.239:2302 | 3:54:15 PM | Player #0 sgt_cambo - GUID: d2ce474bdc303f710ae33fcdf769a89c (unverified)
103.13.101.239:2302 | 3:54:15 PM | Verified GUID (d2ce474bdc303f710ae33fcdf769a89c) of player #0 sgt_cambo
103.13.101.239:2302 | 4:17:39 PM | Player #0 sgt_cambo (d2ce474bdc303f710ae33fcdf769a89c) has been kicked by BattlEye: Client not responding
103.13.101.239:2302 | 4:23:53 PM | Player #0 sgt_cambo (122.148.132.137:2304) connected
103.13.101.239:2302 | 4:23:54 PM | Player #0 sgt_cambo - GUID: d2ce474bdc303f710ae33fcdf769a89c (unverified)
103.13.101.239:2302 | 4:23:55 PM | Verified GUID (d2ce474bdc303f710ae33fcdf769a89c) of player #0 sgt_cambo
103.13.101.239:2302 | 5:15:33 PM | Player #0 sgt_cambo disconnected
103.13.101.239:2302 | 5:17:00 PM | Player #0 sgt_cambo (122.148.132.137:2304) connected
103.13.101.239:2302 | 5:17:02 PM | Player #0 sgt_cambo - GUID: d2ce474bdc303f710ae33fcdf769a89c (unverified)
103.13.101.239:2302 | 5:17:02 PM | Verified GUID (d2ce474bdc303f710ae33fcdf769a89c) of player #0 sgt_cambo
103.13.101.239:2302 | 5:23:38 PM | Player #1 DADINATOR (121.45.243.27:2304) connected
103.13.101.239:2302 | 5:23:40 PM | Player #1 DADINATOR - GUID: ed93afb5a1d7dd12c0848e3817234489 (unverified)
103.13.101.239:2302 | 5:23:40 PM | Verified GUID (ed93afb5a1d7dd12c0848e3817234489) of player #1 DADINATOR
103.13.101.239:2302 | 5:24:56 PM | (Side) sgt_cambo: hi
103.13.101.239:2302 | 5:25:46 PM | (Side) sgt_cambo: say again
103.13.101.239:2302 | 5:27:28 PM | --------------------------------------
103.13.101.239:2302 | 5:27:28 PM | Could not connect to server!
103.13.101.239:2302 | 5:27:28 PM | --------------------------------------
103.13.101.239:2302 | 5:30:59 PM | RCon admin #0 (103.13.101.239:56523) logged in
103.13.101.239:2302 | 5:31:32 PM | Player #1 sgt_cambo (122.148.132.137:2304) connected
103.13.101.239:2302 | 5:31:34 PM | Player #1 sgt_cambo - GUID: d2ce474bdc303f710ae33fcdf769a89c (unverified)
103.13.101.239:2302 | 5:31:35 PM | Verified GUID (d2ce474bdc303f710ae33fcdf769a89c) of player #1 sgt_cambo
103.13.101.239:2302 | 5:57:30 PM | Player #0 DADINATOR (ed93afb5a1d7dd12c0848e3817234489) has been kicked by BattlEye: Ping too high (359)
103.13.101.239:2302 | 5:57:46 PM | Player #0 DADINATOR (121.45.243.27:2304) connected
103.13.101.239:2302 | 5:57:47 PM | Player #0 DADINATOR - GUID: ed93afb5a1d7dd12c0848e3817234489 (unverified)
103.13.101.239:2302 | 5:57:48 PM | Verified GUID (ed93afb5a1d7dd12c0848e3817234489) of player #0 DADINATOR
103.13.101.239:2302 | 5:58:54 PM | Player #0 DADINATOR (ed93afb5a1d7dd12c0848e3817234489) has been kicked by BattlEye: Client not responding
103.13.101.239:2302 | 5:59:31 PM | Player #0 DADINATOR (121.45.243.27:2304) connected
103.13.101.239:2302 | 5:59:32 PM | Player #0 DADINATOR - GUID: ed93afb5a1d7dd12c0848e3817234489 (unverified)
103.13.101.239:2302 | 5:59:32 PM | Verified GUID (ed93afb5a1d7dd12c0848e3817234489) of player #0 DADINATOR
103.13.101.239:2302 | 6:00:12 PM | Max Ping has been set to 350
103.13.101.239:2302 | 6:00:53 PM | Player #0 DADINATOR (ed93afb5a1d7dd12c0848e3817234489) has been kicked by BattlEye: Client not responding
103.13.101.239:2302 | 6:01:06 PM | RCon admin #0: (Global) DADINATOR: fucking computer .. I have to reboot ..... not the server .. my computer
103.13.101.239:2302 | 6:11:46 PM | Player #0 DADINATOR (121.45.243.27:2304) connected
103.13.101.239:2302 | 6:11:47 PM | Player #0 DADINATOR - GUID: ed93afb5a1d7dd12c0848e3817234489 (unverified)
103.13.101.239:2302 | 6:11:47 PM | Verified GUID (ed93afb5a1d7dd12c0848e3817234489) of player #0 DADINATOR
103.13.101.239:2302 | 6:17:10 PM | Player #2 [M.O.D] wates  (84.98.209.46:2304) connected
